amount,time
1958.35,Tue Feb 25 10:34:11 2020
1958.60,Tue Feb 25 10:34:14 2020
1958.95,Tue Feb 25 10:34:17 2020
1959.50,Tue Feb 25 10:34:21 2020
1958.95,Tue Feb 25 10:34:24 2020
1959.85,Tue Feb 25 10:34:26 2020
1959.20,Tue Feb 25 10:34:30 2020
1959.80,Tue Feb 25 10:34:32 2020
1959.25,Tue Feb 25 10:34:36 2020
1959.25,Tue Feb 25 10:34:39 2020
1959.25,Tue Feb 25 10:34:42 2020
1959.60,Tue Feb 25 10:34:45 2020
1960.00,Tue Feb 25 10:34:48 2020
1959.60,Tue Feb 25 10:34:51 2020
1960.00,Tue Feb 25 10:34:53 2020
1959.30,Tue Feb 25 10:34:57 2020
1959.90,Tue Feb 25 10:35:00 2020
1959.90,Tue Feb 25 10:35:03 2020
1959.90,Tue Feb 25 10:35:06 2020
1959.35,Tue Feb 25 10:35:09 2020
1960.00,Tue Feb 25 10:35:12 2020
1959.00,Tue Feb 25 10:35:15 2020
1959.00,Tue Feb 25 10:35:18 2020
1959.65,Tue Feb 25 10:35:21 2020
1959.70,Tue Feb 25 10:35:24 2020
1960.00,Tue Feb 25 10:35:27 2020
1960.00,Tue Feb 25 10:35:30 2020
1959.70,Tue Feb 25 10:35:33 2020
1959.65,Tue Feb 25 10:35:36 2020
1959.65,Tue Feb 25 10:35:39 2020
1959.70,Tue Feb 25 10:35:42 2020
1959.90,Tue Feb 25 10:35:45 2020
1959.65,Tue Feb 25 10:35:48 2020
1959.65,Tue Feb 25 10:35:51 2020
1959.85,Tue Feb 25 10:35:54 2020
1959.80,Tue Feb 25 10:35:57 2020
1959.90,Tue Feb 25 10:36:00 2020
1959.90,Tue Feb 25 10:36:03 2020
1959.90,Tue Feb 25 10:36:06 2020
1959.90,Tue Feb 25 10:36:09 2020
1959.60,Tue Feb 25 10:36:12 2020
1959.60,Tue Feb 25 10:36:15 2020
1959.00,Tue Feb 25 10:36:18 2020
1959.00,Tue Feb 25 10:36:21 2020
1958.95,Tue Feb 25 10:36:24 2020
1959.00,Tue Feb 25 10:36:27 2020
1958.30,Tue Feb 25 10:36:30 2020
1958.20,Tue Feb 25 10:36:33 2020
1958.35,Tue Feb 25 10:36:36 2020
1958.75,Tue Feb 25 10:36:39 2020
1958.40,Tue Feb 25 10:36:42 2020
1958.40,Tue Feb 25 10:36:45 2020
1958.50,Tue Feb 25 10:36:48 2020
1959.00,Tue Feb 25 10:36:51 2020
1958.50,Tue Feb 25 10:36:54 2020
1958.20,Tue Feb 25 10:36:57 2020
1958.50,Tue Feb 25 10:37:00 2020
1958.20,Tue Feb 25 10:37:03 2020
1958.50,Tue Feb 25 10:37:06 2020
1958.20,Tue Feb 25 10:37:09 2020
1958.50,Tue Feb 25 10:37:12 2020
1958.50,Tue Feb 25 10:37:15 2020
1958.50,Tue Feb 25 10:37:18 2020
1958.30,Tue Feb 25 10:37:21 2020
1958.80,Tue Feb 25 10:37:24 2020
1958.50,Tue Feb 25 10:37:27 2020
1959.00,Tue Feb 25 10:37:30 2020
1958.25,Tue Feb 25 10:37:33 2020
1958.25,Tue Feb 25 10:37:36 2020
1958.00,Tue Feb 25 10:37:39 2020
1957.95,Tue Feb 25 10:37:42 2020
1957.95,Tue Feb 25 10:37:45 2020
1958.00,Tue Feb 25 10:37:48 2020
1958.20,Tue Feb 25 10:37:51 2020
1957.25,Tue Feb 25 10:37:54 2020
1957.25,Tue Feb 25 10:37:57 2020
1958.20,Tue Feb 25 10:38:00 2020
1958.50,Tue Feb 25 10:38:03 2020
1957.75,Tue Feb 25 10:38:06 2020
1958.50,Tue Feb 25 10:38:09 2020
1958.00,Tue Feb 25 10:38:12 2020
1958.00,Tue Feb 25 10:38:15 2020
1957.55,Tue Feb 25 10:38:18 2020
1956.85,Tue Feb 25 10:38:21 2020
1956.95,Tue Feb 25 10:38:24 2020
1957.00,Tue Feb 25 10:38:27 2020
1956.95,Tue Feb 25 10:38:30 2020
1957.00,Tue Feb 25 10:38:33 2020
1956.95,Tue Feb 25 10:38:36 2020
