percentagee,amount,time
1.88,1959.75,1582607610809
1.93,1960.55,1582607613823
1.90,1960.00,1582607616822
1.95,1960.95,1582607619786
1.90,1960.00,1582607622822
1.90,1960.00,1582607625821
1.95,1960.95,1582607628779
1.93,1960.60,1582607631818
1.90,1960.00,1582607634824
1.92,1960.40,1582607637809
1.94,1960.80,1582607640791
1.92,1960.40,1582607643819
1.92,1960.40,1582607646819
1.92,1960.40,1582607649820
1.92,1960.40,1582607652822
1.92,1960.40,1582607655820
1.99,1961.80,1582607658822
1.99,1961.75,1582607660860
1.96,1961.25,1582607664823
1.94,1960.90,1582607667780
1.85,1959.15,1582607670778
1.90,1960.00,1582607673823
1.90,1960.05,1582607676778
1.86,1959.20,1582607679821
1.95,1961.00,1582607682778
1.95,1961.00,1582607685821
1.98,1961.60,1582607688816
1.98,1961.65,1582607691780
1.98,1961.50,1582607694780
1.98,1961.50,1582607697816
1.94,1960.75,1582607700818
1.98,1961.50,1582607703817
1.98,1961.50,1582607706815
1.98,1961.60,1582607709784
1.97,1961.45,1582607712785
1.98,1961.50,1582607715777
2.01,1962.20,1582607718817
2.05,1963.00,1582607721817
2.05,1962.95,1582607724815
2.04,1962.75,1582607727814
2.11,1964.05,1582607730817
2.07,1963.30,1582607733783
2.05,1962.85,1582607736817
2.05,1963.00,1582607739817
2.12,1964.25,1582607742778
2.19,1965.55,1582607745804
2.16,1965.05,1582607748815
2.21,1966.00,1582607751816
2.19,1965.55,1582607754814
2.17,1965.20,1582607757815
2.20,1965.90,1582607760814
2.17,1965.30,1582607763781
2.16,1965.00,1582607766781
2.06,1963.10,1582607769814
2.10,1963.85,1582607772782
2.10,1963.80,1582607775816
2.06,1963.15,1582607778780
2.09,1963.70,1582607781813
2.10,1963.80,1582607784820
2.11,1964.10,1582607787815
2.09,1963.70,1582607790791
2.09,1963.70,1582607793813
2.08,1963.45,1582607796779
2.08,1963.55,1582607799815
2.09,1963.75,1582607802814
2.10,1963.90,1582607805814
2.08,1963.50,1582607808789
2.11,1964.05,1582607811814
2.11,1964.00,1582607814814
2.02,1962.30,1582607817814
2.07,1963.25,1582607820780
2.11,1964.00,1582607823799
2.11,1964.00,1582607826790
2.16,1965.00,1582607829776
2.12,1964.25,1582607832811
2.16,1965.05,1582607835799
2.12,1964.25,1582607838776
2.16,1965.00,1582607841815
2.16,1965.00,1582607844816
2.10,1963.85,1582607847815
2.14,1964.75,1582607850816
2.16,1965.00,1582607853774
2.14,1964.65,1582607856801
2.11,1964.00,1582607859814
2.16,1965.00,1582607862777
2.06,1963.10,1582607865777
2.10,1963.85,1582607868782
2.10,1963.85,1582607871778
2.10,1963.85,1582607874815
2.05,1963.00,1582607877815
2.08,1963.55,1582607880783
2.00,1962.00,1582607883776
2.00,1962.00,1582607886815
2.05,1962.95,1582607889808
2.03,1962.50,1582607892806
2.05,1963.00,1582607895773
2.00,1962.00,1582607898813
2.00,1962.00,1582607901780
2.00,1962.00,1582607904813
2.02,1962.45,1582607907813
2.03,1962.55,1582607910793
2.00,1961.95,1582607913809
2.03,1962.60,1582607916783
2.02,1962.45,1582607919814
2.03,1962.55,1582607922812
1.98,1961.60,1582607925813
2.00,1962.00,1582607928777
2.03,1962.55,1582607931815
2.00,1962.05,1582607934814
2.00,1962.05,1582607937815
2.00,1962.05,1582607940808
2.00,1962.00,1582607943813
2.00,1962.05,1582607946785
2.00,1961.90,1582607949792
2.00,1961.90,1582607952791
2.00,1961.90,1582607955779
1.98,1961.65,1582607958770
1.98,1961.60,1582607961784
2.00,1961.90,1582607964780
2.00,1961.90,1582607967794
1.98,1961.65,1582607970812
2.00,1961.90,1582607973776
1.98,1961.65,1582607976782
2.03,1962.60,1582607979792
2.00,1962.00,1582607982811
1.98,1961.65,1582607985811
2.02,1962.35,1582607988812
2.02,1962.40,1582607991811
2.02,1962.40,1582607994811
2.03,1962.60,1582607997811
2.02,1962.35,1582608000812
2.00,1962.00,1582608003811
2.03,1962.50,1582608006812
2.03,1962.55,1582608009811
2.03,1962.60,1582608012811
2.11,1964.00,1582608015812
2.08,1963.60,1582608018816
2.11,1964.00,1582608021811
2.08,1963.60,1582608024812
2.11,1964.15,1582608027768
2.11,1964.00,1582608030811
2.08,1963.60,1582608033810
2.03,1962.60,1582608036805
2.06,1963.20,1582608039808
2.05,1963.00,1582608042809
2.05,1963.00,1582608045768
2.00,1962.00,1582608048773
2.05,1963.00,1582608051809
2.02,1962.30,1582608054810
2.01,1962.20,1582608057804
2.05,1963.00,1582608060808
2.01,1962.10,1582608063808
2.05,1962.95,1582608066809
2.00,1962.00,1582608069803
2.01,1962.10,1582608072771
2.05,1963.00,1582608075803
2.08,1963.50,1582608078810
2.05,1963.00,1582608081808
2.06,1963.10,1582608084807
2.08,1963.50,1582608087808
2.05,1963.00,1582608090787
2.05,1963.00,1582608093808
2.05,1963.00,1582608096807
2.05,1963.00,1582608099808
2.05,1963.00,1582608102809
2.00,1962.05,1582608105771
2.05,1962.95,1582608108771
2.05,1962.95,1582608111807
2.01,1962.15,1582608114770
2.00,1962.05,1582608117775
2.00,1962.00,1582608120772
1.98,1961.65,1582608123808
1.94,1960.80,1582608126808
1.89,1959.95,1582608129797
1.85,1959.00,1582608132784
1.86,1959.30,1582608135787
1.89,1959.80,1582608138793
1.89,1959.95,1582608141770
1.91,1960.15,1582608144807
1.95,1961.00,1582608147805
1.95,1961.10,1582608150770
1.96,1961.25,1582608153768
1.98,1961.65,1582608156808
1.96,1961.25,1582608159807
1.96,1961.20,1582608162807
1.96,1961.20,1582608165787
1.99,1961.75,1582608168802
1.96,1961.20,1582608171806
1.99,1961.80,1582608174806
1.95,1961.05,1582608177768
1.96,1961.20,1582608180806
1.91,1960.15,1582608183807
1.95,1961.00,1582608186774
1.95,1961.00,1582608189804
1.91,1960.15,1582608192806
1.95,1961.00,1582608195805
1.95,1961.00,1582608198804
1.95,1961.00,1582608201805
1.96,1961.20,1582608204804
1.95,1961.05,1582608207806
1.97,1961.45,1582608210804
1.95,1961.00,1582608213785
1.99,1961.80,1582608216767
1.99,1961.80,1582608219771
2.00,1962.00,1582608222767
2.02,1962.35,1582608225786
2.00,1962.00,1582608228804
2.02,1962.45,1582608231765
2.05,1962.90,1582608234803
2.05,1962.85,1582608237805
2.05,1963.00,1582608240804
2.05,1962.95,1582608243803
2.01,1962.15,1582608246804
1.95,1961.00,1582608249799
2.03,1962.50,1582608252766
2.03,1962.50,1582608255802
2.03,1962.50,1582608258803
2.01,1962.20,1582608261801
2.00,1962.00,1582608264765
2.00,1962.00,1582608267803
2.00,1962.00,1582608270802
1.96,1961.15,1582608273801
1.97,1961.45,1582608276799
1.96,1961.20,1582608279802
2.00,1961.95,1582608282784
2.00,1961.95,1582608285803
1.97,1961.40,1582608288804
2.00,1961.95,1582608291804
2.00,1962.00,1582608294787
2.00,1961.95,1582608297801
1.97,1961.40,1582608300802
1.96,1961.25,1582608303801
2.00,1962.00,1582608306765
1.94,1960.85,1582608309801
1.95,1961.00,1582608312758
1.93,1960.60,1582608315803
1.95,1960.95,1582608318802
1.93,1960.60,1582608321796
1.95,1960.95,1582608324801
1.94,1960.85,1582608327800
1.94,1960.85,1582608330802
1.95,1960.95,1582608333795
1.95,1960.95,1582608336801
1.93,1960.60,1582608339802
1.89,1959.80,1582608342801
1.92,1960.50,1582608345757
1.92,1960.45,1582608348799
1.93,1960.55,1582608351801
1.93,1960.60,1582608354800
1.90,1960.00,1582608357796
1.90,1960.00,1582608360784
1.93,1960.60,1582608363775
1.91,1960.30,1582608366801
1.90,1960.05,1582608369786
1.93,1960.60,1582608372800
1.90,1960.05,1582608375765
1.93,1960.60,1582608378761
1.93,1960.60,1582608381798
1.90,1960.05,1582608384784
1.94,1960.85,1582608387800
1.92,1960.40,1582608390800
1.94,1960.85,1582608393773
1.94,1960.90,1582608396800
1.94,1960.90,1582608399798
1.94,1960.90,1582608402788
1.94,1960.90,1582608405771
1.94,1960.85,1582608408798
1.94,1960.85,1582608411799
1.94,1960.85,1582608413834
1.95,1961.00,1582608417797
1.94,1960.90,1582608420760
1.95,1961.00,1582608423793
1.99,1961.80,1582608426798
1.95,1961.00,1582608429759
1.99,1961.70,1582608432759
1.95,1961.00,1582608435759
1.95,1961.00,1582608438776
1.95,1961.00,1582608441792
1.95,1961.00,1582608444798
1.95,1961.10,1582608447797
2.00,1961.90,1582608450798
1.99,1961.70,1582608453763
2.00,1962.00,1582608456798
2.00,1962.00,1582608459795
1.95,1961.05,1582608462796
1.96,1961.15,1582608465796
1.95,1961.10,1582608468753
1.98,1961.50,1582608471795
1.96,1961.15,1582608474770
1.98,1961.50,1582608477797
2.00,1962.00,1582608480752
1.99,1961.70,1582608483796
1.99,1961.70,1582608486796
2.01,1962.25,1582608489764
2.01,1962.25,1582608492795
2.02,1962.40,1582608495758
2.03,1962.60,1582608498797
2.00,1962.00,1582608501772
1.99,1961.70,1582608504793
2.00,1962.00,1582608507792
2.00,1962.00,1582608510790
2.00,1962.00,1582608513795
2.00,1962.00,1582608516759
2.00,1962.00,1582608519752
2.00,1962.00,1582608522756
2.00,1962.00,1582608525753
2.00,1962.00,1582608528757
2.00,1962.00,1582608531795
2.04,1962.70,1582608534763
1.96,1961.20,1582608537757
1.97,1961.30,1582608540778
2.05,1962.90,1582608543773
2.05,1963.00,1582608546794
2.05,1963.00,1582608549759
2.01,1962.15,1582608552794
2.05,1962.95,1582608555794
2.01,1962.15,1582608558795
2.04,1962.75,1582608561795
2.04,1962.75,1582608564794
2.05,1963.00,1582608567794
2.11,1964.00,1582608570794
2.10,1963.95,1582608573793
2.11,1964.00,1582608576758
2.15,1964.95,1582608579754
2.13,1964.40,1582608582793
2.14,1964.65,1582608585793
2.15,1964.80,1582608588755
2.05,1963.00,1582608591793
2.08,1963.60,1582608594793
2.05,1962.95,1582608597788
2.05,1963.00,1582608600788
2.08,1963.55,1582608603792
2.05,1963.00,1582608606751
2.11,1964.00,1582608609793
2.11,1964.00,1582608612761
2.06,1963.05,1582608615753
2.11,1964.00,1582608618768
2.06,1963.05,1582608621763
2.10,1963.80,1582608624761
2.09,1963.75,1582608627793
2.05,1963.00,1582608630791
2.09,1963.70,1582608633791
2.09,1963.70,1582608636786
2.05,1963.00,1582608639786
2.10,1963.80,1582608642790
2.09,1963.70,1582608645789
2.09,1963.65,1582608648791
2.05,1963.00,1582608651792
2.01,1962.25,1582608654792
2.01,1962.25,1582608657791
2.05,1962.90,1582608660791
2.01,1962.25,1582608663791
2.01,1962.25,1582608666790
