percentagee,amount,time
2.15,1964.95,1582609842747
2.15,1964.90,1582609845751
2.15,1964.80,1582609848743
2.14,1964.70,1582609851718
2.14,1964.70,1582609854743
2.14,1964.70,1582609857752
2.14,1964.70,1582609860752
2.11,1964.10,1582609863750
2.13,1964.50,1582609866750
2.13,1964.50,1582609869712
2.11,1964.15,1582609872708
2.15,1964.80,1582609875750
2.18,1965.45,1582609878724
2.13,1964.50,1582609881751
2.13,1964.50,1582609884749
2.13,1964.50,1582609887750
2.13,1964.50,1582609890749
2.12,1964.20,1582609893751
2.16,1965.00,1582609896747
2.16,1965.00,1582609899731
2.12,1964.25,1582609902714
2.15,1964.95,1582609905709
2.12,1964.25,1582609908750
2.12,1964.25,1582609911726
2.12,1964.25,1582609914708
2.10,1963.80,1582609917722
2.10,1963.80,1582609920742
2.01,1962.20,1582609923752
2.01,1962.20,1582609926751
2.03,1962.55,1582609929751
2.04,1962.65,1582609932749
2.05,1962.85,1582609935751
2.05,1963.00,1582609938736
2.05,1963.00,1582609941747
2.05,1963.00,1582609944750
2.05,1963.00,1582609947705
2.02,1962.35,1582609950743
2.05,1963.00,1582609953746
2.05,1963.00,1582609956722
2.05,1963.00,1582609959704
2.10,1963.95,1582609962748
2.05,1963.00,1582609965747
2.05,1963.00,1582609968746
2.10,1963.95,1582609971722
2.08,1963.50,1582609974747
2.05,1963.00,1582609977743
2.02,1962.40,1582609980747
2.02,1962.45,1582609983722
2.05,1963.00,1582609986743
2.03,1962.50,1582609989704
2.02,1962.45,1582609992746
2.02,1962.45,1582609995745
2.02,1962.40,1582609998710
2.00,1962.00,1582610001708
2.05,1963.00,1582610004738
2.01,1962.20,1582610007746
2.02,1962.45,1582610010710
2.02,1962.45,1582610013714
2.02,1962.40,1582610016733
2.02,1962.40,1582610019723
2.00,1962.00,1582610022707
1.98,1961.60,1582610025745
2.00,1961.90,1582610028771
2.00,1962.00,1582610031712
2.00,1962.00,1582610034745
2.00,1961.90,1582610037718
2.00,1961.90,1582610040740
1.98,1961.50,1582610043746
1.98,1961.50,1582610046745
