amount,time
1956.75,6985-01-30 21:26:21
1956.75,6985-01-30 21:31:19
1956.70,6985-01-30 21:36:18
1956.40,6985-01-30 21:40:29
1956.50,6985-01-30 21:46:19
1956.50,6985-01-30 21:51:18
1956.50,6985-01-30 21:56:22
1956.80,6985-01-30 22:01:22
1956.55,6985-01-30 22:06:22
1956.25,6985-01-30 22:11:22
1956.50,6985-01-30 22:16:22
1956.15,6985-01-30 22:21:20
1956.50,6985-01-30 22:26:19
1958.55,6985-01-30 22:31:18
1959.25,6985-01-30 22:36:22
1958.15,6985-01-30 22:41:20
1959.20,6985-01-30 22:46:22
1958.90,6985-01-30 22:51:22
1958.50,6985-01-30 22:56:18
1958.95,6985-01-30 23:01:22
1959.15,6985-01-30 23:06:22
1960.50,6985-01-30 23:11:22
1961.00,6985-01-30 23:16:20
1961.00,6985-01-30 23:21:22
1961.40,6985-01-30 23:26:22
1961.10,6985-01-30 23:31:20
1960.65,6985-01-30 23:36:22
1959.90,6985-01-30 23:41:19
1960.00,6985-01-30 23:46:19
1959.95,6985-01-30 23:51:19
1959.95,6985-01-30 23:56:22
1959.75,6985-01-31 00:01:20
1960.55,6985-01-31 00:06:22
1960.00,6985-01-31 00:11:22
1960.95,6985-01-31 00:16:18
1960.00,6985-01-31 00:21:22
1960.00,6985-01-31 00:26:22
1960.95,6985-01-31 00:31:17
1960.60,6985-01-31 00:36:21
1960.00,6985-01-31 00:41:22
1960.40,6985-01-31 00:46:20
1960.80,6985-01-31 00:51:19
1960.40,6985-01-31 00:56:21
1960.40,6985-01-31 01:01:21
1960.40,6985-01-31 01:06:22
1960.40,6985-01-31 01:11:22
1960.40,6985-01-31 01:16:22
1961.80,6985-01-31 01:21:22
1961.75,6985-01-31 01:24:46
1961.25,6985-01-31 01:31:22
1960.90,6985-01-31 01:36:18
1959.15,6985-01-31 01:41:17
1960.00,6985-01-31 01:46:22
1960.05,6985-01-31 01:51:17
1959.20,6985-01-31 01:56:22
1961.00,6985-01-31 02:01:17
1961.00,6985-01-31 02:06:22
1961.60,6985-01-31 02:11:21
1961.65,6985-01-31 02:16:18
1961.50,6985-01-31 02:21:18
1961.50,6985-01-31 02:26:21
1960.75,6985-01-31 02:31:21
1961.50,6985-01-31 02:36:21
1961.50,6985-01-31 02:41:21
1961.60,6985-01-31 02:46:18
1961.45,6985-01-31 02:51:18
1961.50,6985-01-31 02:56:17
1962.20,6985-01-31 03:01:21
1963.00,6985-01-31 03:06:21
1962.95,6985-01-31 03:11:21
1962.75,6985-01-31 03:16:21
1964.05,6985-01-31 03:21:21
1963.30,6985-01-31 03:26:18
1962.85,6985-01-31 03:31:21
1963.00,6985-01-31 03:36:21
1964.25,6985-01-31 03:41:17
1965.55,6985-01-31 03:46:20
1965.05,6985-01-31 03:51:21
1966.00,6985-01-31 03:56:21
1965.55,6985-01-31 04:01:21
1965.20,6985-01-31 04:06:21
1965.90,6985-01-31 04:11:21
1965.30,6985-01-31 04:16:18
1965.00,6985-01-31 04:21:18
1963.10,6985-01-31 04:26:21
1963.85,6985-01-31 04:31:18
1963.80,6985-01-31 04:36:21
1963.15,6985-01-31 04:41:18
1963.70,6985-01-31 04:46:21
1963.80,6985-01-31 04:51:22
1964.10,6985-01-31 04:56:21
1963.70,6985-01-31 05:01:19
1963.70,6985-01-31 05:06:21
1963.45,6985-01-31 05:11:17
1963.55,6985-01-31 05:16:21
1963.75,6985-01-31 05:21:21
1963.90,6985-01-31 05:26:21
1963.50,6985-01-31 05:31:18
1964.05,6985-01-31 05:36:21
1964.00,6985-01-31 05:41:21
1962.30,6985-01-31 05:46:21
1963.25,6985-01-31 05:51:18
1964.00,6985-01-31 05:56:19
1964.00,6985-01-31 06:01:19
1965.00,6985-01-31 06:06:17
1964.25,6985-01-31 06:11:21
1965.05,6985-01-31 06:16:19
1964.25,6985-01-31 06:21:17
1965.00,6985-01-31 06:26:21
1965.00,6985-01-31 06:31:21
1963.85,6985-01-31 06:36:21
1964.75,6985-01-31 06:41:21
1965.00,6985-01-31 06:46:17
1964.65,6985-01-31 06:51:20
1964.00,6985-01-31 06:56:21
1965.00,6985-01-31 07:01:17
1963.10,6985-01-31 07:06:17
1963.85,6985-01-31 07:11:18
1963.85,6985-01-31 07:16:17
1963.85,6985-01-31 07:21:21
1963.00,6985-01-31 07:26:21
1963.55,6985-01-31 07:31:18
1962.00,6985-01-31 07:36:17
1962.00,6985-01-31 07:41:21
1962.95,6985-01-31 07:46:20
1962.50,6985-01-31 07:51:20
1963.00,6985-01-31 07:56:17
1962.00,6985-01-31 08:01:21
1962.00,6985-01-31 08:06:18
1962.00,6985-01-31 08:11:21
1962.45,6985-01-31 08:16:21
1962.55,6985-01-31 08:21:19
1961.95,6985-01-31 08:26:20
1962.60,6985-01-31 08:31:18
1962.45,6985-01-31 08:36:21
1962.55,6985-01-31 08:41:21
1961.60,6985-01-31 08:46:21
1962.00,6985-01-31 08:51:17
1962.55,6985-01-31 08:56:21
1962.05,6985-01-31 09:01:21
1962.05,6985-01-31 09:06:21
1962.05,6985-01-31 09:11:20
1962.00,6985-01-31 09:16:21
1962.05,6985-01-31 09:21:18
1961.90,6985-01-31 09:26:19
1961.90,6985-01-31 09:31:19
1961.90,6985-01-31 09:36:17
1961.65,6985-01-31 09:41:17
1961.60,6985-01-31 09:46:18
1961.90,6985-01-31 09:51:18
1961.90,6985-01-31 09:56:19
1961.65,6985-01-31 10:01:21
1961.90,6985-01-31 10:06:17
1961.65,6985-01-31 10:11:18
1962.60,6985-01-31 10:16:19
1962.00,6985-01-31 10:21:21
1961.65,6985-01-31 10:26:21
1962.35,6985-01-31 10:31:21
1962.40,6985-01-31 10:36:21
1962.40,6985-01-31 10:41:21
1962.60,6985-01-31 10:46:21
1962.35,6985-01-31 10:51:21
1962.00,6985-01-31 10:56:21
1962.50,6985-01-31 11:01:21
1962.55,6985-01-31 11:06:21
1962.60,6985-01-31 11:11:21
1964.00,6985-01-31 11:16:21
1963.60,6985-01-31 11:21:21
1964.00,6985-01-31 11:26:21
1963.60,6985-01-31 11:31:21
1964.15,6985-01-31 11:36:16
1964.00,6985-01-31 11:41:21
1963.60,6985-01-31 11:46:21
1962.60,6985-01-31 11:51:20
1963.20,6985-01-31 11:56:20
1963.00,6985-01-31 12:01:20
1963.00,6985-01-31 12:06:16
1962.00,6985-01-31 12:11:17
1963.00,6985-01-31 12:16:20
1962.30,6985-01-31 12:21:21
1962.20,6985-01-31 12:26:20
1963.00,6985-01-31 12:31:20
1962.10,6985-01-31 12:36:20
1962.95,6985-01-31 12:41:20
1962.00,6985-01-31 12:46:20
1962.10,6985-01-31 12:51:17
1963.00,6985-01-31 12:56:20
1963.50,6985-01-31 13:01:21
1963.00,6985-01-31 13:06:20
1963.10,6985-01-31 13:11:20
1963.50,6985-01-31 13:16:20
1963.00,6985-01-31 13:21:18
1963.00,6985-01-31 13:26:20
1963.00,6985-01-31 13:31:20
1963.00,6985-01-31 13:36:20
1963.00,6985-01-31 13:41:20
1962.05,6985-01-31 13:46:17
1962.95,6985-01-31 13:51:17
1962.95,6985-01-31 13:56:20
1962.15,6985-01-31 14:01:17
1962.05,6985-01-31 14:06:17
1962.00,6985-01-31 14:11:17
1961.65,6985-01-31 14:16:20
1960.80,6985-01-31 14:21:20
1959.95,6985-01-31 14:26:19
1959.00,6985-01-31 14:31:18
1959.30,6985-01-31 14:36:18
1959.80,6985-01-31 14:41:19
1959.95,6985-01-31 14:46:17
1960.15,6985-01-31 14:51:20
1961.00,6985-01-31 14:56:20
1961.10,6985-01-31 15:01:17
1961.25,6985-01-31 15:06:16
1961.65,6985-01-31 15:11:20
1961.25,6985-01-31 15:16:20
1961.20,6985-01-31 15:21:20
1961.20,6985-01-31 15:26:18
1961.75,6985-01-31 15:31:20
1961.20,6985-01-31 15:36:20
1961.80,6985-01-31 15:41:20
1961.05,6985-01-31 15:46:16
1961.20,6985-01-31 15:51:20
1960.15,6985-01-31 15:56:20
1961.00,6985-01-31 16:01:17
1961.00,6985-01-31 16:06:20
1960.15,6985-01-31 16:11:20
1961.00,6985-01-31 16:16:20
1961.00,6985-01-31 16:21:20
1961.00,6985-01-31 16:26:20
1961.20,6985-01-31 16:31:20
1961.05,6985-01-31 16:36:20
1961.45,6985-01-31 16:41:20
1961.00,6985-01-31 16:46:18
1961.80,6985-01-31 16:51:16
1961.80,6985-01-31 16:56:17
1962.00,6985-01-31 17:01:16
1962.35,6985-01-31 17:06:18
1962.00,6985-01-31 17:11:20
1962.45,6985-01-31 17:16:16
1962.90,6985-01-31 17:21:20
1962.85,6985-01-31 17:26:20
1963.00,6985-01-31 17:31:20
1962.95,6985-01-31 17:36:20
1962.15,6985-01-31 17:41:20
1961.00,6985-01-31 17:46:19
1962.50,6985-01-31 17:51:16
1962.50,6985-01-31 17:56:20
1962.50,6985-01-31 18:01:20
1962.20,6985-01-31 18:06:20
1962.00,6985-01-31 18:11:16
1962.00,6985-01-31 18:16:20
1962.00,6985-01-31 18:21:20
1961.15,6985-01-31 18:26:20
1961.45,6985-01-31 18:31:19
1961.20,6985-01-31 18:36:20
1961.95,6985-01-31 18:41:18
1961.95,6985-01-31 18:46:20
1961.40,6985-01-31 18:51:20
1961.95,6985-01-31 18:56:20
1962.00,6985-01-31 19:01:18
1961.95,6985-01-31 19:06:20
1961.40,6985-01-31 19:11:20
1961.25,6985-01-31 19:16:20
1962.00,6985-01-31 19:21:16
1960.85,6985-01-31 19:26:20
1961.00,6985-01-31 19:31:15
1960.60,6985-01-31 19:36:20
1960.95,6985-01-31 19:41:20
1960.60,6985-01-31 19:46:19
1960.95,6985-01-31 19:51:20
1960.85,6985-01-31 19:56:20
1960.85,6985-01-31 20:01:20
1960.95,6985-01-31 20:06:19
1960.95,6985-01-31 20:11:20
1960.60,6985-01-31 20:16:20
1959.80,6985-01-31 20:21:20
1960.50,6985-01-31 20:26:15
1960.45,6985-01-31 20:31:19
1960.55,6985-01-31 20:36:20
1960.60,6985-01-31 20:41:20
1960.00,6985-01-31 20:46:19
1960.00,6985-01-31 20:51:18
1960.60,6985-01-31 20:56:17
1960.30,6985-01-31 21:01:20
1960.05,6985-01-31 21:06:18
1960.60,6985-01-31 21:11:20
1960.05,6985-01-31 21:16:16
1960.60,6985-01-31 21:21:16
1960.60,6985-01-31 21:26:19
1960.05,6985-01-31 21:31:18
1960.85,6985-01-31 21:36:20
1960.40,6985-01-31 21:41:20
1960.85,6985-01-31 21:46:17
1960.90,6985-01-31 21:51:20
1960.90,6985-01-31 21:56:19
1960.90,6985-01-31 22:01:18
1960.90,6985-01-31 22:06:17
1960.85,6985-01-31 22:11:19
1960.85,6985-01-31 22:16:19
1960.85,6985-01-31 22:19:43
1961.00,6985-01-31 22:26:19
1960.90,6985-01-31 22:31:16
1961.00,6985-01-31 22:36:19
1961.80,6985-01-31 22:41:19
1961.00,6985-01-31 22:46:15
1961.70,6985-01-31 22:51:15
1961.00,6985-01-31 22:56:15
1961.00,6985-01-31 23:01:17
1961.00,6985-01-31 23:06:19
1961.00,6985-01-31 23:11:19
1961.10,6985-01-31 23:16:19
1961.90,6985-01-31 23:21:19
1961.70,6985-01-31 23:26:16
1962.00,6985-01-31 23:31:19
1962.00,6985-01-31 23:36:19
1961.05,6985-01-31 23:41:19
1961.15,6985-01-31 23:46:19
1961.10,6985-01-31 23:51:15
1961.50,6985-01-31 23:56:19
1961.15,6985-02-01 00:01:17
1961.50,6985-02-01 00:06:19
1962.00,6985-02-01 00:11:15
1961.70,6985-02-01 00:16:19
1961.70,6985-02-01 00:21:19
1962.25,6985-02-01 00:26:16
1962.25,6985-02-01 00:31:19
1962.40,6985-02-01 00:36:15
1962.60,6985-02-01 00:41:19
1962.00,6985-02-01 00:46:17
1961.70,6985-02-01 00:51:19
1962.00,6985-02-01 00:56:19
1962.00,6985-02-01 01:01:19
1962.00,6985-02-01 01:06:19
1962.00,6985-02-01 01:11:15
1962.00,6985-02-01 01:16:15
1962.00,6985-02-01 01:21:15
1962.00,6985-02-01 01:26:15
1962.00,6985-02-01 01:31:15
1962.00,6985-02-01 01:36:19
1962.70,6985-02-01 01:41:16
1961.20,6985-02-01 01:46:15
1961.30,6985-02-01 01:51:17
1962.90,6985-02-01 01:56:17
1963.00,6985-02-01 02:01:19
1963.00,6985-02-01 02:06:15
1962.15,6985-02-01 02:11:19
1962.95,6985-02-01 02:16:19
1962.15,6985-02-01 02:21:19
1962.75,6985-02-01 02:26:19
1962.75,6985-02-01 02:31:19
1963.00,6985-02-01 02:36:19
1964.00,6985-02-01 02:41:19
