amount,time
794.15,Wed Feb 26 11:34:29 2020
794.10,Wed Feb 26 11:34:31 2020
794.10,Wed Feb 26 11:34:33 2020
794.20,Wed Feb 26 11:34:35 2020
794.15,Wed Feb 26 11:34:37 2020
794.15,Wed Feb 26 11:34:39 2020
794.20,Wed Feb 26 11:34:41 2020
794.20,Wed Feb 26 11:34:43 2020
794.15,Wed Feb 26 11:34:45 2020
794.15,Wed Feb 26 11:34:47 2020
794.20,Wed Feb 26 11:34:49 2020
794.15,Wed Feb 26 11:34:51 2020
794.15,Wed Feb 26 11:34:53 2020
794.20,Wed Feb 26 11:34:55 2020
794.15,Wed Feb 26 11:34:57 2020
794.20,Wed Feb 26 11:34:59 2020
794.15,Wed Feb 26 11:35:01 2020
794.15,Wed Feb 26 11:35:03 2020
794.15,Wed Feb 26 11:35:05 2020
794.20,Wed Feb 26 11:35:07 2020
794.20,Wed Feb 26 11:35:09 2020
794.15,Wed Feb 26 11:35:11 2020
794.10,Wed Feb 26 11:35:13 2020
794.10,Wed Feb 26 11:35:15 2020
794.00,Wed Feb 26 11:35:17 2020
794.00,Wed Feb 26 11:35:19 2020
794.05,Wed Feb 26 11:35:21 2020
794.05,Wed Feb 26 11:35:23 2020
794.00,Wed Feb 26 11:35:25 2020
794.00,Wed Feb 26 11:35:27 2020
794.10,Wed Feb 26 11:35:29 2020
794.05,Wed Feb 26 11:35:31 2020
794.05,Wed Feb 26 11:35:33 2020
794.05,Wed Feb 26 11:35:35 2020
794.05,Wed Feb 26 11:35:37 2020
794.10,Wed Feb 26 11:35:39 2020
794.10,Wed Feb 26 11:35:41 2020
794.10,Wed Feb 26 11:35:43 2020
794.00,Wed Feb 26 11:35:45 2020
794.10,Wed Feb 26 11:35:47 2020
794.10,Wed Feb 26 11:35:49 2020
794.05,Wed Feb 26 11:35:51 2020
794.05,Wed Feb 26 11:35:53 2020
794.00,Wed Feb 26 11:35:55 2020
794.00,Wed Feb 26 11:35:57 2020
794.05,Wed Feb 26 11:35:59 2020
794.00,Wed Feb 26 11:36:01 2020
794.05,Wed Feb 26 11:36:03 2020
794.00,Wed Feb 26 11:36:05 2020
794.05,Wed Feb 26 11:36:07 2020
794.00,Wed Feb 26 11:36:09 2020
794.05,Wed Feb 26 11:36:11 2020
794.00,Wed Feb 26 11:36:13 2020
794.05,Wed Feb 26 11:36:15 2020
794.10,Wed Feb 26 11:36:17 2020
794.10,Wed Feb 26 11:36:19 2020
794.00,Wed Feb 26 11:36:21 2020
794.00,Wed Feb 26 11:36:23 2020
794.00,Wed Feb 26 11:36:25 2020
794.05,Wed Feb 26 11:36:27 2020
794.05,Wed Feb 26 11:36:29 2020
794.00,Wed Feb 26 11:36:31 2020
794.00,Wed Feb 26 11:36:33 2020
794.00,Wed Feb 26 11:36:35 2020
794.05,Wed Feb 26 11:36:37 2020
794.05,Wed Feb 26 11:36:39 2020
794.05,Wed Feb 26 11:36:41 2020
794.05,Wed Feb 26 11:36:43 2020
794.05,Wed Feb 26 11:36:45 2020
794.00,Wed Feb 26 11:36:47 2020
794.00,Wed Feb 26 11:36:49 2020
794.05,Wed Feb 26 11:36:51 2020
794.00,Wed Feb 26 11:36:53 2020
794.00,Wed Feb 26 11:36:55 2020
794.00,Wed Feb 26 11:36:57 2020
794.00,Wed Feb 26 11:36:59 2020
794.00,Wed Feb 26 11:37:01 2020
794.00,Wed Feb 26 11:37:03 2020
794.20,Wed Feb 26 11:37:05 2020
794.20,Wed Feb 26 11:37:07 2020
794.15,Wed Feb 26 11:37:09 2020
794.05,Wed Feb 26 11:37:11 2020
794.05,Wed Feb 26 11:37:13 2020
794.05,Wed Feb 26 11:37:15 2020
794.10,Wed Feb 26 11:37:17 2020
794.10,Wed Feb 26 11:37:19 2020
794.00,Wed Feb 26 11:37:21 2020
794.10,Wed Feb 26 11:37:23 2020
794.10,Wed Feb 26 11:37:25 2020
794.00,Wed Feb 26 11:37:27 2020
794.10,Wed Feb 26 11:37:29 2020
794.05,Wed Feb 26 11:37:31 2020
794.10,Wed Feb 26 11:37:33 2020
794.05,Wed Feb 26 11:37:35 2020
794.00,Wed Feb 26 11:37:37 2020
794.10,Wed Feb 26 11:37:39 2020
794.00,Wed Feb 26 11:37:41 2020
794.10,Wed Feb 26 11:37:43 2020
794.00,Wed Feb 26 11:37:45 2020
794.00,Wed Feb 26 11:37:47 2020
794.05,Wed Feb 26 11:37:49 2020
794.00,Wed Feb 26 11:37:51 2020
794.05,Wed Feb 26 11:37:53 2020
794.05,Wed Feb 26 11:37:55 2020
794.05,Wed Feb 26 11:37:57 2020
794.05,Wed Feb 26 11:37:59 2020
794.05,Wed Feb 26 11:38:01 2020
794.05,Wed Feb 26 11:38:03 2020
794.05,Wed Feb 26 11:38:05 2020
794.10,Wed Feb 26 11:38:07 2020
794.05,Wed Feb 26 11:38:09 2020
794.00,Wed Feb 26 11:38:11 2020
794.05,Wed Feb 26 11:38:13 2020
794.00,Wed Feb 26 11:38:15 2020
794.00,Wed Feb 26 11:38:17 2020
794.05,Wed Feb 26 11:38:19 2020
794.00,Wed Feb 26 11:38:21 2020
794.00,Wed Feb 26 11:38:23 2020
794.00,Wed Feb 26 11:38:25 2020
794.00,Wed Feb 26 11:38:27 2020
794.00,Wed Feb 26 11:38:29 2020
794.00,Wed Feb 26 11:38:31 2020
794.00,Wed Feb 26 11:38:33 2020
794.00,Wed Feb 26 11:38:35 2020
794.05,Wed Feb 26 11:38:37 2020
794.00,Wed Feb 26 11:38:39 2020
794.00,Wed Feb 26 11:38:41 2020
794.00,Wed Feb 26 11:38:43 2020
794.00,Wed Feb 26 11:38:45 2020
794.00,Wed Feb 26 11:38:47 2020
794.00,Wed Feb 26 11:38:49 2020
794.05,Wed Feb 26 11:38:51 2020
794.05,Wed Feb 26 11:38:53 2020
794.05,Wed Feb 26 11:38:55 2020
794.05,Wed Feb 26 11:38:57 2020
794.05,Wed Feb 26 11:38:59 2020
794.05,Wed Feb 26 11:39:01 2020
794.05,Wed Feb 26 11:39:03 2020
794.00,Wed Feb 26 11:39:05 2020
794.05,Wed Feb 26 11:39:07 2020
794.00,Wed Feb 26 11:39:09 2020
794.00,Wed Feb 26 11:39:11 2020
794.05,Wed Feb 26 11:39:13 2020
794.00,Wed Feb 26 11:39:15 2020
794.00,Wed Feb 26 11:39:17 2020
794.00,Wed Feb 26 11:39:19 2020
794.00,Wed Feb 26 11:39:21 2020
794.00,Wed Feb 26 11:39:23 2020
794.05,Wed Feb 26 11:39:25 2020
794.00,Wed Feb 26 11:39:27 2020
